year,level_1,level_2,level_3,value
1965,All Items,Food Excl Food Servicing Services,Vegetables,na
1965,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1965,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1965,All Items,Food Excl Food Servicing Services,Other Food,na
1965,All Items,Food Servicing Services,Restaurant Food,na
1965,All Items,Food Servicing Services,Fast Food,na
1965,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1965,All Items,Food Servicing Services,Catered Food,na
1965,All Items,Housing & Utilities,Accommodation,na
1965,All Items,Housing & Utilities,Fuel & Utilities,na
1965,All Items,Household Durables And Services,Household Durables,na
1965,All Items,Household Durables And Services,Household Services & Supplies,na
1965,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1965,All Items,Health Care,Medical & Dental Treatment,na
1965,All Items,Transport,Private Road Transport,na
1965,All Items,Transport,Public Road Transport,na
1965,All Items,Transport,Other Travel & Transport,na
1965,All Items,Recreation & Culture,Recreation & Entertainment,na
1965,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1965,All Items,Recreation & Culture,Holiday Expenses,na
1965,All Items,Education,Tuition & Other Fees,na
1965,All Items,Education,School Textbooks & Related Study Guides,na
1965,All Items,Miscellaneous Goods & Services,Personal Care,na
1965,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1965,All Items,Miscellaneous Goods & Services,Personal Effects,na
1965,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1966,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1966,All Items,Food Excl Food Servicing Services,Meat,na
1966,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1966,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1966,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1966,All Items,Food Excl Food Servicing Services,Fruits,na
1966,All Items,Food Excl Food Servicing Services,Vegetables,na
1966,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1966,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1966,All Items,Food Excl Food Servicing Services,Other Food,na
1966,All Items,Food Servicing Services,Restaurant Food,na
1966,All Items,Food Servicing Services,Fast Food,na
1966,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1966,All Items,Food Servicing Services,Catered Food,na
1966,All Items,Housing & Utilities,Accommodation,na
1966,All Items,Housing & Utilities,Fuel & Utilities,na
1966,All Items,Household Durables And Services,Household Durables,na
1966,All Items,Household Durables And Services,Household Services & Supplies,na
1966,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1966,All Items,Health Care,Medical & Dental Treatment,na
1966,All Items,Transport,Private Road Transport,na
1966,All Items,Transport,Public Road Transport,na
1966,All Items,Transport,Other Travel & Transport,na
1966,All Items,Recreation & Culture,Recreation & Entertainment,na
1966,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1966,All Items,Recreation & Culture,Holiday Expenses,na
1966,All Items,Education,Tuition & Other Fees,na
1966,All Items,Education,School Textbooks & Related Study Guides,na
1966,All Items,Miscellaneous Goods & Services,Personal Care,na
1966,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1966,All Items,Miscellaneous Goods & Services,Personal Effects,na
1966,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1967,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1967,All Items,Food Excl Food Servicing Services,Meat,na
1967,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1967,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1967,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1967,All Items,Food Excl Food Servicing Services,Fruits,na
1967,All Items,Food Excl Food Servicing Services,Vegetables,na
1967,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1967,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1967,All Items,Food Excl Food Servicing Services,Other Food,na
1967,All Items,Food Servicing Services,Restaurant Food,na
1967,All Items,Food Servicing Services,Fast Food,na
1967,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1967,All Items,Food Servicing Services,Catered Food,na
1967,All Items,Housing & Utilities,Accommodation,na
1967,All Items,Housing & Utilities,Fuel & Utilities,na
1967,All Items,Household Durables And Services,Household Durables,na
1967,All Items,Household Durables And Services,Household Services & Supplies,na
1967,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1967,All Items,Health Care,Medical & Dental Treatment,na
1967,All Items,Transport,Private Road Transport,na
1967,All Items,Transport,Public Road Transport,na
1967,All Items,Transport,Other Travel & Transport,na
1967,All Items,Recreation & Culture,Recreation & Entertainment,na
1967,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1967,All Items,Recreation & Culture,Holiday Expenses,na
1967,All Items,Education,Tuition & Other Fees,na
1967,All Items,Education,School Textbooks & Related Study Guides,na
1967,All Items,Miscellaneous Goods & Services,Personal Care,na
1967,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1967,All Items,Miscellaneous Goods & Services,Personal Effects,na
1967,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1968,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1968,All Items,Food Excl Food Servicing Services,Meat,na
1968,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1968,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1968,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1968,All Items,Food Excl Food Servicing Services,Fruits,na
1968,All Items,Food Excl Food Servicing Services,Vegetables,na
1968,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1968,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1968,All Items,Food Excl Food Servicing Services,Other Food,na
1968,All Items,Food Servicing Services,Restaurant Food,na
1968,All Items,Food Servicing Services,Fast Food,na
1968,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1968,All Items,Food Servicing Services,Catered Food,na
1968,All Items,Housing & Utilities,Accommodation,na
1968,All Items,Housing & Utilities,Fuel & Utilities,na
1968,All Items,Household Durables And Services,Household Durables,na
1968,All Items,Household Durables And Services,Household Services & Supplies,na
1968,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1968,All Items,Health Care,Medical & Dental Treatment,na
1968,All Items,Transport,Private Road Transport,na
1968,All Items,Transport,Public Road Transport,na
1968,All Items,Transport,Other Travel & Transport,na
1968,All Items,Recreation & Culture,Recreation & Entertainment,na
1968,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1968,All Items,Recreation & Culture,Holiday Expenses,na
1968,All Items,Education,Tuition & Other Fees,na
1968,All Items,Education,School Textbooks & Related Study Guides,na
1968,All Items,Miscellaneous Goods & Services,Personal Care,na
1968,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1968,All Items,Miscellaneous Goods & Services,Personal Effects,na
1968,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1969,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1969,All Items,Food Excl Food Servicing Services,Meat,na
1969,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1969,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1969,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1969,All Items,Food Excl Food Servicing Services,Fruits,na
1969,All Items,Food Excl Food Servicing Services,Vegetables,na
1969,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1969,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1969,All Items,Food Excl Food Servicing Services,Other Food,na
1969,All Items,Food Servicing Services,Restaurant Food,na
1969,All Items,Food Servicing Services,Fast Food,na
1969,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1969,All Items,Food Servicing Services,Catered Food,na
1969,All Items,Housing & Utilities,Accommodation,na
1969,All Items,Housing & Utilities,Fuel & Utilities,na
1969,All Items,Household Durables And Services,Household Durables,na
1969,All Items,Household Durables And Services,Household Services & Supplies,na
1969,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1969,All Items,Health Care,Medical & Dental Treatment,na
1969,All Items,Transport,Private Road Transport,na
1969,All Items,Transport,Public Road Transport,na
1969,All Items,Transport,Other Travel & Transport,na
1969,All Items,Recreation & Culture,Recreation & Entertainment,na
1969,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1969,All Items,Recreation & Culture,Holiday Expenses,na
1969,All Items,Education,Tuition & Other Fees,na
1969,All Items,Education,School Textbooks & Related Study Guides,na
1969,All Items,Miscellaneous Goods & Services,Personal Care,na
1969,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1969,All Items,Miscellaneous Goods & Services,Personal Effects,na
1969,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1970,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1970,All Items,Food Excl Food Servicing Services,Meat,na
1970,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1970,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1970,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1970,All Items,Food Excl Food Servicing Services,Fruits,na
1970,All Items,Food Excl Food Servicing Services,Vegetables,na
1970,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1970,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1970,All Items,Food Excl Food Servicing Services,Other Food,na
1970,All Items,Food Servicing Services,Restaurant Food,na
1970,All Items,Food Servicing Services,Fast Food,na
1970,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1970,All Items,Food Servicing Services,Catered Food,na
1970,All Items,Housing & Utilities,Accommodation,na
1970,All Items,Housing & Utilities,Fuel & Utilities,na
1970,All Items,Household Durables And Services,Household Durables,na
1970,All Items,Household Durables And Services,Household Services & Supplies,na
1970,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1970,All Items,Health Care,Medical & Dental Treatment,na
1970,All Items,Transport,Private Road Transport,na
1970,All Items,Transport,Public Road Transport,na
1970,All Items,Transport,Other Travel & Transport,na
1970,All Items,Recreation & Culture,Recreation & Entertainment,na
1970,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1970,All Items,Recreation & Culture,Holiday Expenses,na
1970,All Items,Education,Tuition & Other Fees,na
1970,All Items,Education,School Textbooks & Related Study Guides,na
1970,All Items,Miscellaneous Goods & Services,Personal Care,na
1970,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1970,All Items,Miscellaneous Goods & Services,Personal Effects,na
1970,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1971,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1971,All Items,Food Excl Food Servicing Services,Meat,na
1971,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1971,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1971,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1971,All Items,Food Excl Food Servicing Services,Fruits,na
1971,All Items,Food Excl Food Servicing Services,Vegetables,na
1971,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1971,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1971,All Items,Food Excl Food Servicing Services,Other Food,na
1971,All Items,Food Servicing Services,Restaurant Food,na
1971,All Items,Food Servicing Services,Fast Food,na
1971,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1971,All Items,Food Servicing Services,Catered Food,na
1971,All Items,Housing & Utilities,Accommodation,na
1971,All Items,Housing & Utilities,Fuel & Utilities,na
1971,All Items,Household Durables And Services,Household Durables,na
1971,All Items,Household Durables And Services,Household Services & Supplies,na
1971,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1971,All Items,Health Care,Medical & Dental Treatment,na
1971,All Items,Transport,Private Road Transport,na
1971,All Items,Transport,Public Road Transport,na
1971,All Items,Transport,Other Travel & Transport,na
1971,All Items,Recreation & Culture,Recreation & Entertainment,na
1971,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1971,All Items,Recreation & Culture,Holiday Expenses,na
1971,All Items,Education,Tuition & Other Fees,na
1971,All Items,Education,School Textbooks & Related Study Guides,na
1971,All Items,Miscellaneous Goods & Services,Personal Care,na
1971,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1971,All Items,Miscellaneous Goods & Services,Personal Effects,na
1971,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1972,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1972,All Items,Food Excl Food Servicing Services,Meat,na
1972,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1972,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1972,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1972,All Items,Food Excl Food Servicing Services,Fruits,na
1972,All Items,Food Excl Food Servicing Services,Vegetables,na
1972,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1972,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1972,All Items,Food Excl Food Servicing Services,Other Food,na
1972,All Items,Food Servicing Services,Restaurant Food,na
1972,All Items,Food Servicing Services,Fast Food,na
1972,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1972,All Items,Food Servicing Services,Catered Food,na
1972,All Items,Housing & Utilities,Accommodation,na
1972,All Items,Housing & Utilities,Fuel & Utilities,na
1972,All Items,Household Durables And Services,Household Durables,na
1972,All Items,Household Durables And Services,Household Services & Supplies,na
1972,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1972,All Items,Health Care,Medical & Dental Treatment,na
1972,All Items,Transport,Private Road Transport,na
1972,All Items,Transport,Public Road Transport,na
1972,All Items,Transport,Other Travel & Transport,na
1972,All Items,Recreation & Culture,Recreation & Entertainment,na
1972,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1972,All Items,Recreation & Culture,Holiday Expenses,na
1972,All Items,Education,Tuition & Other Fees,na
1972,All Items,Education,School Textbooks & Related Study Guides,na
1972,All Items,Miscellaneous Goods & Services,Personal Care,na
1972,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1972,All Items,Miscellaneous Goods & Services,Personal Effects,na
1972,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1973,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1973,All Items,Food Excl Food Servicing Services,Meat,na
1973,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1973,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1973,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1973,All Items,Food Excl Food Servicing Services,Fruits,na
1973,All Items,Food Excl Food Servicing Services,Vegetables,na
1973,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1973,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1973,All Items,Food Excl Food Servicing Services,Other Food,na
1973,All Items,Food Servicing Services,Restaurant Food,na
1973,All Items,Food Servicing Services,Fast Food,na
1973,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1973,All Items,Food Servicing Services,Catered Food,na
1973,All Items,Housing & Utilities,Accommodation,na
1973,All Items,Housing & Utilities,Fuel & Utilities,na
1973,All Items,Household Durables And Services,Household Durables,na
1973,All Items,Household Durables And Services,Household Services & Supplies,na
1973,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1973,All Items,Health Care,Medical & Dental Treatment,na
1973,All Items,Transport,Private Road Transport,na
1973,All Items,Transport,Public Road Transport,na
1973,All Items,Transport,Other Travel & Transport,na
1973,All Items,Recreation & Culture,Recreation & Entertainment,na
1973,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1973,All Items,Recreation & Culture,Holiday Expenses,na
1973,All Items,Education,Tuition & Other Fees,na
1973,All Items,Education,School Textbooks & Related Study Guides,na
1973,All Items,Miscellaneous Goods & Services,Personal Care,na
1973,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1973,All Items,Miscellaneous Goods & Services,Personal Effects,na
1973,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1974,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1974,All Items,Food Excl Food Servicing Services,Meat,na
1974,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1974,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1974,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1974,All Items,Food Excl Food Servicing Services,Fruits,na
1974,All Items,Food Excl Food Servicing Services,Vegetables,na
1974,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1974,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1974,All Items,Food Excl Food Servicing Services,Other Food,na
1974,All Items,Food Servicing Services,Restaurant Food,na
1974,All Items,Food Servicing Services,Fast Food,na
1974,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1974,All Items,Food Servicing Services,Catered Food,na
1974,All Items,Housing & Utilities,Accommodation,na
1974,All Items,Housing & Utilities,Fuel & Utilities,na
1974,All Items,Household Durables And Services,Household Durables,na
1974,All Items,Household Durables And Services,Household Services & Supplies,na
1974,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1974,All Items,Health Care,Medical & Dental Treatment,na
1974,All Items,Transport,Private Road Transport,na
1974,All Items,Transport,Public Road Transport,na
1974,All Items,Transport,Other Travel & Transport,na
1974,All Items,Recreation & Culture,Recreation & Entertainment,na
1974,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1974,All Items,Recreation & Culture,Holiday Expenses,na
1974,All Items,Education,Tuition & Other Fees,na
1974,All Items,Education,School Textbooks & Related Study Guides,na
1974,All Items,Miscellaneous Goods & Services,Personal Care,na
1974,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1974,All Items,Miscellaneous Goods & Services,Personal Effects,na
1974,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1975,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1975,All Items,Food Excl Food Servicing Services,Meat,na
1975,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1975,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1975,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1975,All Items,Food Excl Food Servicing Services,Fruits,na
1975,All Items,Food Excl Food Servicing Services,Vegetables,na
1975,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1975,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1975,All Items,Food Excl Food Servicing Services,Other Food,na
1975,All Items,Food Servicing Services,Restaurant Food,na
1975,All Items,Food Servicing Services,Fast Food,na
1975,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1975,All Items,Food Servicing Services,Catered Food,na
1975,All Items,Housing & Utilities,Accommodation,na
1975,All Items,Housing & Utilities,Fuel & Utilities,na
1975,All Items,Household Durables And Services,Household Durables,na
1975,All Items,Household Durables And Services,Household Services & Supplies,na
1975,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1975,All Items,Health Care,Medical & Dental Treatment,na
1975,All Items,Transport,Private Road Transport,na
1975,All Items,Transport,Public Road Transport,na
1975,All Items,Transport,Other Travel & Transport,na
1975,All Items,Recreation & Culture,Recreation & Entertainment,na
1975,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1975,All Items,Recreation & Culture,Holiday Expenses,na
1975,All Items,Education,Tuition & Other Fees,na
1975,All Items,Education,School Textbooks & Related Study Guides,na
1975,All Items,Miscellaneous Goods & Services,Personal Care,na
1975,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1975,All Items,Miscellaneous Goods & Services,Personal Effects,na
